   Wave [mic]    t_ote(norm)    nc_abs    sys_t(norm)
      2.50000     0.996278      0.99720395      0.99349270
      2.50050     0.996281      0.99720395      0.99349502
      2.50100     0.996282      0.99720395      0.99349674
      2.50150     0.996286      0.99720395      0.99350007
      2.50200     0.996290      0.99720395      0.99350429
      2.50250     0.996292      0.99720395      0.99350631
      2.50300     0.996294      0.99720395      0.99350785
      2.50350     0.996296      0.99720395      0.99350999
      2.50400     0.996298      0.99720395      0.99351261
      2.50450     0.996301      0.99720395      0.99351487
      2.50500     0.996303      0.99720395      0.99351701
      2.50550     0.996306      0.99720395      0.99352022
      2.50600     0.996308      0.99720395      0.99352254
      2.50650     0.996311      0.99720395      0.99352515
      2.50700     0.996313      0.99720395      0.99352741
      2.50750     0.996315      0.99720395      0.99352961
      2.50800     0.996318      0.99720395      0.99353222
      2.50850     0.996319      0.99720395      0.99353329
      2.50900     0.996322      0.99720395      0.99353585
      2.50950     0.996325      0.99720395      0.99353948
      2.51000     0.996327      0.99720395      0.99354090
      2.51050     0.996330      0.99721789      0.99355801
      2.51100     0.996332      0.99723184      0.99357410
      2.51150     0.996334      0.99724579      0.99358990
      2.51200     0.996337      0.99725974      0.99360689
      2.51250     0.996339      0.99727374      0.99362293
      2.51300     0.996342      0.99728769      0.99363973
      2.51350     0.996344      0.99730164      0.99365535
      2.51400     0.996346      0.99731559      0.99367115
      2.51450     0.996348      0.99732959      0.99368778
      2.51500     0.996351      0.99734354      0.99370376
      2.51550     0.996351      0.99735749      0.99371855
      2.51600     0.996355      0.99737144      0.99373589
      2.51650     0.996356      0.99738544      0.99375056
      2.51700     0.996360      0.99739939      0.99376838
      2.51750     0.996362      0.99741334      0.99378478
      2.51800     0.996364      0.99742728      0.99380093
      2.51850     0.996366      0.99744129      0.99381620
      2.51900     0.996367      0.99745524      0.99383134
      2.51950     0.996370      0.99746919      0.99384821
      2.52000     0.996370      0.99748319      0.99386270
      2.52050     0.996373      0.99748319      0.99386496
      2.52100     0.996375      0.99748319      0.99386746
      2.52150     0.996376      0.99748319      0.99386853
      2.52200     0.996378      0.99748319      0.99387037
      2.52250     0.996380      0.99748319      0.99387275
      2.52300     0.996384      0.99748319      0.99387590
      2.52350     0.996384      0.99748319      0.99387584
      2.52400     0.996386      0.99748319      0.99387876
      2.52450     0.996388      0.99748319      0.99387995
      2.52500     0.996390      0.99748319      0.99388215
      2.52550     0.996391      0.99748319      0.99388328
      2.52600     0.996392      0.99748319      0.99388464
      2.52650     0.996394      0.99748319      0.99388577
      2.52700     0.996395      0.99748319      0.99388696
      2.52750     0.996397      0.99748319      0.99388916
      2.52800     0.996399      0.99748319      0.99389172
      2.52850     0.996401      0.99748319      0.99389338
      2.52900     0.996403      0.99748319      0.99389481
      2.52950     0.996403      0.99748319      0.99389540
      2.53000     0.996405      0.99748319      0.99389743
      2.53050     0.996408      0.99746919      0.99388597
      2.53100     0.996408      0.99745524      0.99387266
      2.53150     0.996410      0.99744129      0.99386043
      2.53200     0.996412      0.99742728      0.99384855
      2.53250     0.996413      0.99741334      0.99383519
      2.53300     0.996414      0.99739939      0.99382272
      2.53350     0.996416      0.99738544      0.99381067
      2.53400     0.996417      0.99737144      0.99379831
      2.53450     0.996419      0.99735749      0.99378644
      2.53500     0.996420      0.99734354      0.99377278
      2.53550     0.996421      0.99732959      0.99375989
      2.53600     0.996422      0.99731559      0.99374742
      2.53650     0.996424      0.99730164      0.99373507
      2.53700     0.996425      0.99728769      0.99372236
      2.53750     0.996427      0.99727374      0.99371096
      2.53800     0.996429      0.99725974      0.99369861
      2.53850     0.996430      0.99724579      0.99368513
      2.53900     0.996432      0.99723184      0.99367366
      2.53950     0.996432      0.99721789      0.99366030
      2.54000     0.996435      0.99720395      0.99364860
      2.54050     0.996434      0.99721789      0.99366161
      2.54100     0.996436      0.99723184      0.99367747
      2.54150     0.996439      0.99724579      0.99369428
      2.54200     0.996439      0.99725974      0.99370818
      2.54250     0.996440      0.99727374      0.99372374
      2.54300     0.996441      0.99728769      0.99373847
      2.54350     0.996443      0.99730164      0.99375451
      2.54400     0.996445      0.99731559      0.99377001
      2.54450     0.996446      0.99732959      0.99378486
      2.54500     0.996447      0.99734354      0.99379983
      2.54550     0.996448      0.99735749      0.99381503
      2.54600     0.996450      0.99737144      0.99383065
      2.54650     0.996451      0.99738544      0.99384556
      2.54700     0.996453      0.99739939      0.99386196
      2.54750     0.996456      0.99741334      0.99387817
      2.54800     0.996457      0.99742734      0.99389302
      2.54850     0.996457      0.99744129      0.99390764
      2.54900     0.996459      0.99745524      0.99392302
      2.54950     0.996461      0.99746919      0.99393900
      2.55000     0.996461      0.99748319      0.99395355
      2.55050     0.996464      0.99748319      0.99395563
      2.55100     0.996464      0.99748319      0.99395658
      2.55150     0.996466      0.99748319      0.99395771
      2.55200     0.996467      0.99748319      0.99395932
      2.55250     0.996469      0.99748319      0.99396092
      2.55300     0.996471      0.99748319      0.99396354
      2.55350     0.996473      0.99748319      0.99396479
      2.55400     0.996475      0.99748319      0.99396657
      2.55450     0.996475      0.99748319      0.99396746
      2.55500     0.996477      0.99748319      0.99396901
      2.55550     0.996478      0.99748319      0.99397026
      2.55600     0.996480      0.99748319      0.99397246
      2.55650     0.996480      0.99748319      0.99397234
      2.55700     0.996482      0.99748319      0.99397406
      2.55750     0.996484      0.99748319      0.99397614
      2.55800     0.996485      0.99748319      0.99397715
      2.55850     0.996488      0.99748319      0.99397977
      2.55900     0.996489      0.99748319      0.99398108
      2.55950     0.996490      0.99748319      0.99398167
      2.56000     0.996492      0.99748319      0.99398405
      2.56050     0.996494      0.99748319      0.99398572
      2.56100     0.996493      0.99748319      0.99398524
      2.56150     0.996496      0.99748319      0.99398756
      2.56200     0.996497      0.99748319      0.99398875
      2.56250     0.996497      0.99748319      0.99398946
      2.56300     0.996499      0.99748319      0.99399136
      2.56350     0.996501      0.99748319      0.99399261
      2.56400     0.996503      0.99748319      0.99399469
      2.56450     0.996503      0.99748319      0.99399535
      2.56500     0.996505      0.99748319      0.99399749
      2.56550     0.996506      0.99748319      0.99399790
      2.56600     0.996506      0.99748319      0.99399820
      2.56650     0.996507      0.99748319      0.99399927
