Test Spectra from Irwin et al. (2014), The Transit Spectra of Earth and Jupiter, Icarus
Column 1: Wavelength (in microns)
Column 2: 100*Ap/Astar (Earth-Sun Primary Transit)
Column 3: 100*Ap/Astar (Earth-Mdwarf Primary Transit)
Column 4: 100*Ap/Astar (Jupiter-Sun Primary Transit)
Column 5: Fp/Astar (Earth-Sun Secondary Eclipse)
Column 6: Disc-averaged radiance of Earth (W cm-2 sr-1 micron-1)
Column 7: Fp/Astar (Jupiter-Sun Secondary Eclipse)
Column 8: Disc-averaged radiance of Jupiter (W cm-2 sr-1 micron-1)
Column 9: Solar spectral irradiance spectrum (W micron-1)
           (Solar Radius = 695500.0 km)
Column 10: Mdwarf spectral irradiance spectrum (W micron-1)
           (Mdwarf Radius = 97995.0 km)
     Column 1     Column 2     Column 3     Column 4     Column 5     Column 6     Column 7     Column 8     Column 9    Column 10
     0.400000   0.00842150     0.424201      1.05950  1.24785e-10   0.00314053  5.75481e-09   0.00115309  4.04302e+26  6.28803e+22
     0.416000   0.00842110     0.424181      1.05945  1.14495e-10   0.00348328  5.54678e-09   0.00134445  4.89080e+26  7.75247e+22
     0.432000   0.00842074     0.424163      1.05940  1.17785e-10   0.00325952  6.09007e-09   0.00134424  4.45378e+26  8.32749e+22
     0.448000   0.00842044     0.424148      1.05936  1.02517e-10   0.00346868  5.37430e-09   0.00145441  5.46060e+26  1.06503e+23
     0.464000   0.00842018     0.424135      1.05933  9.97604e-11   0.00353804  5.26760e-09   0.00150140  5.75121e+26  1.03033e+23
     0.480000   0.00841995     0.424123      1.05930  9.47502e-11   0.00332431  5.06715e-09   0.00143619  5.71904e+26  9.36448e+22
     0.496000   0.00841976     0.424114      1.05927  9.06024e-11   0.00300926  4.93165e-09   0.00133854  5.47665e+26  1.08125e+23
     0.512000   0.00841968     0.424110      1.05925  8.46165e-11   0.00267885  4.77941e-09   0.00125327  5.29109e+26  1.03525e+23
     0.528000   0.00841965     0.424108      1.05923  8.00272e-11   0.00245547  4.58359e-09   0.00118751  5.22766e+26  1.63906e+23
     0.544000   0.00841964     0.424108      1.05921  7.68399e-11   0.00233852  4.23814e-09   0.00111091  5.28907e+26  1.83404e+23
     0.560000   0.00841964     0.424108      1.05920  7.39470e-11   0.00217082  4.09121e-09   0.00105813  5.21869e+26  1.63598e+23
     0.576000   0.00841966     0.424109      1.05918  7.04374e-11   0.00202721  3.98458e-09   0.00102637  5.19750e+26  1.94301e+23
     0.592000   0.00841969     0.424111      1.05917  6.73256e-11   0.00187985  3.90528e-09  0.000979702  5.06193e+26  1.51575e+23
     0.608000   0.00841978     0.424115      1.05917  6.58702e-11   0.00177346  3.82218e-09  0.000925325  4.88492e+26  2.19469e+23
     0.624000   0.00841998     0.424125      1.05916  6.47014e-11   0.00170732  3.79310e-09  0.000880095  4.68177e+26  1.81888e+23
     0.640000   0.00842014     0.424133      1.05915  6.26886e-11   0.00164321  3.77914e-09  0.000851876  4.54839e+26  2.41430e+23
     0.656000   0.00842028     0.424140      1.05915  6.20728e-11   0.00159450  3.73111e-09  0.000808722  4.37357e+26  2.68352e+23
     0.672000   0.00842063     0.424158      1.05916  5.97838e-11   0.00152785  3.65887e-09  0.000776818  4.28398e+26  2.02178e+23
     0.688000   0.00842137     0.424195      1.05915  5.43705e-11   0.00135874  3.62028e-09  0.000742478  4.13825e+26  2.68974e+23
     0.704000   0.00842121     0.424187      1.05918  5.01933e-11   0.00121572  3.44654e-09  0.000678779  3.97392e+26  3.08303e+23
     0.720000   0.00842097     0.424175      1.05922  4.48301e-11   0.00104648  3.19892e-09  0.000603760  3.80834e+26  2.65356e+23
     0.736000   0.00842142     0.424198      1.05919  4.33357e-11  0.000978973  3.25745e-09  0.000592658  3.67114e+26  5.00962e+23
     0.752000   0.00842388     0.424320      1.05915  4.08044e-11  0.000893737  3.44696e-09  0.000606910  3.55273e+26  6.05416e+23
     0.768000   0.00842460     0.424357      1.05920  3.85135e-11  0.000817807  3.36360e-09  0.000572664  3.43534e+26  4.63932e+23
     0.784000   0.00842247     0.424250      1.05924  4.16520e-11  0.000853942  3.11313e-09  0.000511176  3.31320e+26  4.58408e+23
     0.800000   0.00842181     0.424217      1.05926  4.09187e-11  0.000809067  3.06639e-09  0.000484771  3.18995e+26  5.87305e+23
     0.816000   0.00842188     0.424221      1.05923  3.63555e-11  0.000691154  3.33059e-09  0.000506263  3.06711e+26  6.33588e+23
     0.832000   0.00842198     0.424226      1.05916  3.60605e-11  0.000659307  3.41519e-09  0.000498355  2.94441e+26  5.89412e+23
     0.848000   0.00842199     0.424226      1.05922  4.09193e-11  0.000710310  3.23850e-09  0.000448594  2.79502e+26  5.63028e+23
     0.864000   0.00842263     0.424259      1.05940  4.18934e-11  0.000696708  2.68493e-09  0.000356142  2.67649e+26  6.14269e+23
     0.880000   0.00842308     0.424281      1.05956  4.07179e-11  0.000663628  1.77095e-09  0.000230006  2.62064e+26  6.27108e+23
     0.896000   0.00842258     0.424256      1.05954  3.56214e-11  0.000564311  1.40468e-09  0.000177370  2.54788e+26  5.96664e+23
     0.912000   0.00842259     0.424257      1.05930  3.03275e-11  0.000463061  2.20651e-09  0.000268369  2.45415e+26  6.37765e+23
     0.928000   0.00842269     0.424262      1.05919  2.37223e-11  0.000349916  2.61570e-09  0.000307224  2.36996e+26  6.63814e+23
     0.944000   0.00842286     0.424270      1.05919  1.87170e-11  0.000266951  2.56007e-09  0.000290775  2.29182e+26  6.63194e+23
     0.960000   0.00842270     0.424262      1.05928  2.30912e-11  0.000318724  2.23431e-09  0.000245536  2.21741e+26  6.61061e+23
     0.976000   0.00842255     0.424254      1.05951  3.13421e-11  0.000419895  1.56103e-09  0.000166479  2.15190e+26  6.43257e+23
     0.992000   0.00842252     0.424253      1.05962  3.65672e-11  0.000474539  1.02082e-09  0.000105459  2.08454e+26  6.36275e+23
      1.00800   0.00842252     0.424253      1.05968  3.89029e-11  0.000488180  1.01489e-09  0.000101376  2.01555e+26  6.44141e+23
      1.02400   0.00842249     0.424251      1.05941  3.90570e-11  0.000474214  1.56815e-09  0.000151547  1.95000e+26  6.50541e+23
      1.04000   0.00842247     0.424250      1.05924  3.95000e-11  0.000464395  2.17692e-09  0.000203721  1.88829e+26  6.54465e+23
      1.05600   0.00842246     0.424250      1.05921  3.92987e-11  0.000445201  2.52895e-09  0.000228048  1.81954e+26  6.54323e+23
      1.07200   0.00842245     0.424249      1.05921  3.82924e-11  0.000416694  2.61046e-09  0.000226097  1.74765e+26  6.47435e+23
      1.08800   0.00842242     0.424248      1.05922  3.63062e-11  0.000379554  2.58346e-09  0.000214965  1.67896e+26  6.27133e+23
      1.10400   0.00842251     0.424253      1.05933  2.81370e-11  0.000285094  2.08844e-09  0.000168424  1.62726e+26  5.98764e+23
      1.12000   0.00842296     0.424275      1.05977  1.68463e-11  0.000166009  8.50690e-10  6.67223e-05  1.58261e+26  5.72235e+23
      1.13600   0.00842311     0.424282      1.06033  1.42489e-11  0.000136358  1.58233e-10  1.20522e-05  1.53690e+26  5.56618e+23
      1.15200   0.00842274     0.424264      1.06073  1.92166e-11  0.000178520  7.50723e-11  5.55087e-06  1.49195e+26  5.45496e+23
      1.16800   0.00842245     0.424250      1.06080  2.66469e-11  0.000240238  6.26338e-11  4.49446e-06  1.44791e+26  5.38983e+23
      1.18400   0.00842260     0.424257      1.06042  3.09904e-11  0.000270447  2.00510e-10  1.39272e-05  1.40153e+26  5.31023e+23
      1.20000   0.00842419     0.424337      1.05981  3.14439e-11  0.000266622  7.62367e-10  5.14513e-05  1.36178e+26  5.29756e+23
      1.21600   0.00842266     0.424260      1.05938  3.35229e-11  0.000277324  1.64701e-09  0.000108446  1.32859e+26  5.30883e+23
      1.23200   0.00842192     0.424223      1.05928  3.59751e-11  0.000290646  2.06847e-09  0.000133010  1.29751e+26  5.29361e+23
      1.24800   0.00842220     0.424237      1.05924  3.55518e-11  0.000279187  2.40286e-09  0.000150188  1.26119e+26  5.24731e+23
      1.26400   0.00842377     0.424315      1.05922  3.34918e-11  0.000254452  2.59309e-09  0.000156804  1.22015e+26  5.19537e+23
      1.28000   0.00842300     0.424277      1.05922  3.30650e-11  0.000243671  2.58551e-09  0.000151654  1.18354e+26  5.14447e+23
      1.29600   0.00842160     0.424207      1.05925  3.17689e-11  0.000227482  2.34299e-09  0.000133533  1.14998e+26  5.04474e+23
      1.31200   0.00842160     0.424207      1.05947  2.70350e-11  0.000189025  1.45541e-09  8.09935e-05  1.12290e+26  4.77039e+23
      1.32800   0.00842170     0.424212      1.05982  2.04646e-11  0.000139341  6.08620e-10  3.29833e-05  1.09351e+26  4.17582e+23
      1.34400   0.00842290     0.424271      1.06019  1.26102e-11  8.35710e-05  2.12458e-10  1.12067e-05  1.06434e+26  3.59054e+23
      1.36000   0.00842527     0.424390      1.06048  5.36122e-12  3.45851e-05  6.59317e-11  3.38526e-06  1.03603e+26  3.22191e+23
      1.37600   0.00842605     0.424429      1.06059  3.70925e-12  2.32949e-05  4.24399e-11  2.12139e-06  1.00860e+26  3.09788e+23
