# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:55:04 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4165 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'Uranus  '           /                                                
# SPTYPE  = 'plnt    '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2000 May 18'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.820451 / Minimum wavelength (um)                        
# MAXWAVE =              2.47444 / Maximum wavelength (um)                        
# V       =                    0 / V magnitude                                    
# VERR    =                    0 / V magnitude error                              
# (B-V)   =                    0 / B-V color                                      
# (B-V)ERR=                    0 / B-V color error                                
# J       =                    0 / 2MASS J magnitude                              
# JERR    =                    0 / 2MASS J magnitude error                        
# H       =                    0 / 2MASS H magnitude                              
# HERR    =                    0 / 2MASS H magnitude error                        
# KS      =                    0 / 2MASS Ks magnitude                             
# KSERR   =                    0 / 2MASS Ks magnitude error                       
# QFLAG   =                    0 / 2MASS quality flag                             
# FCBANDS =                    0 / 2MASS bands used for absolute flux calibration 
# ABSFERR =                    0 / Relative error in the absolute flux calibration
# RV      = 'NAN     '           / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.820451                1.20014e-11         3.65504e-13
             0.820659                1.18565e-11         3.49625e-13
             0.820867                1.21464e-11         4.51659e-13
             0.821074                1.28478e-11         4.23863e-13
             0.821282                1.26989e-11         3.90301e-13
             0.821489                1.32219e-11         5.33150e-13
             0.821697                1.27809e-11         3.99871e-13
             0.821904                1.27998e-11         3.89284e-13
             0.822112                1.36560e-11         4.58422e-13
             0.822319                1.36971e-11         4.58922e-13
             0.822527                1.33711e-11         4.23012e-13
             0.822734                1.31630e-11         4.24440e-13
             0.822942                1.28665e-11         4.42195e-13
             0.823149                1.38408e-11         5.40043e-13
             0.823357                1.30051e-11         4.69725e-13
             0.823564                1.37924e-11         4.98801e-13
             0.823771                1.33597e-11         5.61600e-13
             0.823979                1.26581e-11         4.04653e-13
             0.824186                1.29183e-11         4.74152e-13
             0.824394                1.28129e-11         4.17077e-13
             0.824601                1.30937e-11         4.35612e-13
             0.824809                1.25703e-11         4.10426e-13
             0.825016                1.28544e-11         4.21569e-13
             0.825224                1.26718e-11         4.11976e-13
             0.825431                1.28044e-11         4.29212e-13
             0.825638                1.26031e-11         5.33351e-13
             0.825825                1.26574e-11         2.48618e-13
             0.826064                1.21027e-11         2.28118e-13
             0.826303                1.24262e-11         2.52546e-13
             0.826541                1.27592e-11         2.57703e-13
             0.826780                1.25802e-11         2.40295e-13
             0.827019                1.28595e-11         2.42024e-13
             0.827257                1.27651e-11         2.34854e-13
             0.827496                1.27523e-11         2.37710e-13
             0.827735                1.30403e-11         2.87930e-13
             0.827973                1.36040e-11         2.56163e-13
             0.828212                1.37354e-11         2.59134e-13
             0.828451                1.45264e-11         2.80311e-13
             0.828689                1.47227e-11         2.64033e-13
             0.828928                1.50655e-11         2.74244e-13
             0.829167                1.55771e-11         2.86107e-13
             0.829405                1.51845e-11         2.75434e-13
             0.829644                1.62903e-11         3.51189e-13
             0.829882                1.62287e-11         2.92337e-13
             0.830121                1.66365e-11         2.89566e-13
             0.830360                1.69934e-11         2.93772e-13
             0.830598                1.68739e-11         2.89030e-13
             0.830837                1.68122e-11         2.89312e-13
             0.831075                1.73726e-11         2.93668e-13
             0.831314                1.76165e-11         3.07573e-13
             0.831553                1.78908e-11         3.07715e-13
             0.831791                1.80549e-11         3.09235e-13
             0.832030                1.75454e-11         3.52644e-13
             0.832268                1.71266e-11         2.91843e-13
             0.832507                1.66841e-11         2.76541e-13
             0.832745                1.52009e-11         2.46763e-13
             0.832984                1.47402e-11         2.37128e-13
             0.833222                1.46813e-11         2.41965e-13
             0.833461                1.30015e-11         2.13063e-13
             0.833700                1.18232e-11         1.93406e-13
             0.833938                1.13643e-11         2.17532e-13
             0.834177                1.05197e-11         1.71733e-13
             0.834415                9.53635e-12         1.52612e-13
             0.834654                8.71299e-12         1.43322e-13
             0.834892                7.65718e-12         1.24410e-13
             0.835131                6.72553e-12         1.09597e-13
             0.835369                6.98630e-12         1.27926e-13
             0.835608                6.11294e-12         9.82789e-14
             0.835846                4.82792e-12         8.68118e-14
             0.836085                4.79354e-12         9.30257e-14
             0.836323                5.12751e-12         8.62315e-14
             0.836562                4.05707e-12         7.32725e-14
             0.836800                3.80940e-12         7.83828e-14
             0.837038                4.30587e-12         7.06522e-14
             0.837277                3.90143e-12         6.56727e-14
             0.837515                3.04762e-12         6.15277e-14
             0.837754                3.47919e-12         6.12454e-14
             0.837992                3.49578e-12         6.17166e-14
             0.838231                2.67386e-12         5.51677e-14
             0.838469                2.46816e-12         4.89568e-14
             0.838708                2.37090e-12         4.73604e-14
             0.838946                2.36371e-12         5.40026e-14
             0.839184                2.51185e-12         4.94998e-14
             0.839423                2.90991e-12         5.86838e-14
             0.839661                2.70077e-12         4.95312e-14
             0.839900                2.78537e-12         4.95587e-14
             0.840138                2.96564e-12         5.15570e-14
             0.840376                2.69024e-12         5.32224e-14
             0.840615                2.42945e-12         4.56656e-14
             0.840853                2.55615e-12         4.75652e-14
             0.841092                2.32216e-12         4.46940e-14
             0.841330                2.03146e-12         4.13552e-14
             0.841568                2.12712e-12         4.18797e-14
             0.841807                2.17273e-12         4.29027e-14
             0.842045                2.07033e-12         4.71103e-14
             0.842283                2.26020e-12         4.30529e-14
             0.842522                2.76286e-12         4.71787e-14
             0.842760                3.15076e-12         5.53912e-14
             0.842998                3.27631e-12         5.02298e-14
             0.843237                3.29151e-12         5.08610e-14
             0.843475                3.08296e-12         4.85726e-14
             0.843713                2.96586e-12         4.81919e-14
             0.843952                2.61576e-12         4.33722e-14
             0.844190                2.48417e-12         4.34577e-14
             0.844428                2.54885e-12         4.31822e-14
             0.844667                2.64510e-12         4.40273e-14
             0.844905                3.12598e-12         5.02330e-14
             0.845143                3.03449e-12         5.34995e-14
             0.845381                3.75564e-12         5.52440e-14
             0.845620                3.82501e-12         5.37789e-14
             0.845858                3.93449e-12         6.68777e-14
             0.846096                4.44111e-12         5.92491e-14
             0.846335                4.47352e-12         6.73887e-14
             0.846573                4.06656e-12         5.60565e-14
             0.846811                4.08585e-12         6.65367e-14
             0.847049                4.18477e-12         5.78171e-14
             0.847288                4.00607e-12         5.49566e-14
             0.847526                3.72538e-12         5.21809e-14
             0.847764                4.15818e-12         5.46846e-14
             0.848002                4.51265e-12         5.89355e-14
             0.848240                4.09391e-12         5.46551e-14
             0.848479                3.89521e-12         5.70930e-14
             0.848717                4.52488e-12         5.79127e-14
             0.848955                4.98677e-12         6.96314e-14
             0.849193                4.90661e-12         7.30047e-14
             0.849432                5.16683e-12         6.73727e-14
             0.849670                4.81567e-12         5.94771e-14
             0.849908                3.92160e-12         5.62072e-14
             0.850146                3.55890e-12         5.62394e-14
             0.850384                3.78727e-12         5.07073e-14
             0.850622                4.35913e-12         6.64893e-14
             0.850861                4.20622e-12         5.21001e-14
             0.851099                3.87934e-12         5.14015e-14
             0.851337                3.59766e-12         4.58762e-14
             0.851575                3.80502e-12         5.20204e-14
             0.851813                3.89329e-12         4.89050e-14
             0.852051                3.75264e-12         4.75143e-14
             0.852290                3.34558e-12         4.74804e-14
             0.852528                3.20688e-12         4.10062e-14
             0.852766                3.26362e-12         4.16561e-14
             0.853004                3.08598e-12         4.02314e-14
             0.853242                2.64914e-12         3.63360e-14
             0.853480                2.46086e-12         3.42182e-14
             0.853718                2.28089e-12         4.16296e-14
             0.853957                2.13428e-12         3.65202e-14
             0.854195                1.77870e-12         3.10018e-14
             0.854433                1.58329e-12         3.07621e-14
             0.854671                1.62829e-12         2.95191e-14
             0.854909                1.77048e-12         2.85423e-14
             0.855147                1.99188e-12         3.08175e-14
             0.855385                2.07587e-12         3.10332e-14
             0.855623                2.08854e-12         3.12459e-14
             0.855861                1.96105e-12         2.98374e-14
             0.856099                1.90114e-12         2.94389e-14
             0.856337                1.88867e-12         2.87736e-14
             0.856575                1.88501e-12         2.85946e-14
             0.856814                1.77860e-12         2.75568e-14
             0.857052                1.73927e-12         2.74569e-14
             0.857290                1.75824e-12         3.32822e-14
             0.857528                1.66627e-12         3.11799e-14
             0.857766                1.69493e-12         3.35135e-14
             0.858004                1.63757e-12         2.65742e-14
             0.858242                1.64358e-12         2.68245e-14
             0.858480                1.53290e-12         3.00040e-14
             0.858718                1.55801e-12         2.60472e-14
             0.858956                1.62741e-12         2.63925e-14
             0.859194                1.54769e-12         2.57067e-14
             0.859432                1.48770e-12         2.52503e-14
             0.859670                1.54633e-12         2.54094e-14
             0.859908                1.54823e-12         2.52953e-14
             0.860146                1.46279e-12         2.46825e-14
             0.860384                1.45709e-12         2.45470e-14
             0.860622                1.45322e-12         2.85665e-14
             0.860860                1.45685e-12         2.80805e-14
             0.861098                1.40475e-12         2.37465e-14
             0.861336                1.37063e-12         2.36624e-14
