#Mdot	Rin	Tmax	J	H	K	L	M	N	J	H	K	L	M	N
1E-02	1.0	12542	2.3	2.0	1.7	0.7	0.2	-1.2	2.3	2.0	1.7	1.3	1.4	1.1
1E-03	1.0	7053	4.3	3.9	3.5	2.6	2.2	0.7	4.3	3.9	3.5	2.7	2.4	1.9
1E-04	1.0	3966	6.5	6.0	5.6	4.5	4.1	2.6	6.5	6.0	5.6	4.5	4.1	3.0
6E-05	1.0	3491	7.0	6.6	6.1	4.9	4.5	3.0	7.0	6.6	6.1	4.9	4.5	3.3
3E-05	1.0	2935	7.8	7.5	6.9	5.6	5.1	3.6	7.8	7.5	6.9	5.6	5.1	3.8
1E-05	1.0	2230	9.3	9.2	8.3	6.6	6.0	4.5	9.3	9.2	8.3	6.6	6.0	4.5
6E-06	1.0	1963	10.1	9.9	8.9	7.1	6.4	4.9	10.1	9.9	8.9	7.1	6.4	4.9
3E-06	1.0	1651	13.4	11.6	10.0	7.7	7.0	5.4	13.4	11.6	10.0	7.7	7.0	5.5
1E-06	1.0	1254	16.0	13.6	11.6	8.9	8.0	6.3	16.0	13.6	11.6	8.9	8.0	6.3
6E-07	1.0	1104	17.7	15.0	12.6	9.5	8.6	6.8	17.7	15.0	12.6	9.5	8.6	6.8
3E-07	1.0	928	20.6	17.3	14.4	10.6	9.5	7.4	20.6	17.3	14.4	10.6	9.5	7.4
1E-07	1.0	705	25.2	20.8	17.2	12.7	11.4	8.4	25.2	20.8	17.2	12.7	11.4	8.4
1E-02	1.5	9253	2.5	2.0	1.7	0.8	0.4	-1.1	2.5	2.0	1.8	1.1	1.0	0.6
1E-03	1.5	5204	4.5	4.0	3.6	2.7	2.3	0.8	4.5	4.0	3.6	2.7	2.4	1.6
1E-04	1.5	2926	6.9	6.5	6.0	4.7	4.2	2.7	6.9	6.5	6.0	4.7	4.2	2.9
6E-05	1.5	2575	7.5	7.3	6.6	5.1	4.6	3.1	7.5	7.3	6.6	5.1	4.6	3.2
3E-05	1.5	2166	8.5	8.4	7.5	5.8	5.2	3.7	8.5	8.4	7.5	5.8	5.2	3.7
1E-05	1.5	1646	11.7	10.6	9.1	6.9	6.2	4.6	11.7	10.6	9.1	6.9	6.2	4.6
6E-06	1.5	1448	13.6	11.6	9.8	7.4	6.6	5.0	13.6	11.6	9.8	7.4	6.6	5.0
3E-06	1.5	1218	15.4	13.0	10.9	8.1	7.3	5.6	15.4	13.0	10.9	8.1	7.3	5.6
1E-06	1.5	925	19.8	16.4	13.6	9.8	8.6	6.5	19.8	16.4	13.6	9.8	8.6	6.5
6E-07	1.5	814	22.0	18.2	15.0	10.9	9.5	7.0	22.1	18.2	15.0	10.9	9.5	7.0
3E-07	1.5	685	24.8	20.3	16.6	12.1	10.7	7.7	24.8	20.3	16.6	12.1	10.7	7.7
1E-07	1.5	520	31.2	25.2	20.4	14.3	12.5	8.8	31.2	25.2	20.4	14.3	12.5	8.8
1E-02	2.0	7458	2.6	2.1	1.8	0.9	0.5	-1.1	2.6	2.1	1.8	1.0	0.8	0.3
1E-03	2.0	4194	4.7	4.2	3.8	2.8	2.4	0.9	4.7	4.2	3.8	2.8	2.4	1.4
1E-04	2.0	2358	7.3	7.1	6.4	4.8	4.3	2.8	7.3	7.1	6.4	4.8	4.3	2.9
6E-05	2.0	2076	8.1	7.9	7.0	5.3	4.7	3.2	8.1	7.9	7.0	5.3	4.7	3.2
3E-05	2.0	1745	9.5	9.1	8.0	6.0	5.3	3.8	9.5	9.1	8.0	6.0	5.3	3.8
1E-05	2.0	1326	13.8	11.6	9.7	7.2	6.4	4.7	13.8	11.6	9.7	7.2	6.4	4.7
6E-06	2.0	1167	15.4	12.8	10.7	7.7	6.9	5.1	15.4	12.8	10.7	7.7	6.9	5.1
3E-06	2.0	981	18.1	15.0	12.3	8.7	7.7	5.7	18.1	15.0	12.3	8.7	7.7	5.7
1E-06	2.0	746	22.8	18.6	15.2	10.9	9.5	6.7	22.8	18.6	15.2	10.9	9.5	6.7
6E-07	2.0	656	25.0	20.3	16.5	11.7	10.3	7.2	25.0	20.3	16.5	11.7	10.3	7.2
3E-07	2.0	552	29.1	23.4	18.8	13.1	11.4	7.9	29.1	23.4	18.8	13.1	11.4	7.9
1E-07	2.0	419	37.1	29.5	23.5	15.9	13.7	9.2	37.1	29.5	23.5	15.9	13.7	9.2
1E-02	4.0	4434	2.9	2.4	2.0	1.1	0.7	-0.8	2.9	2.4	2.0	1.1	0.7	-0.3
1E-03	4.0	2494	5.4	5.2	4.5	3.1	2.6	1.1	5.4	5.2	4.5	3.1	2.6	1.2
1E-04	4.0	1402	11.5	9.6	7.8	5.3	4.6	3.0	11.5	9.6	7.8	5.3	4.6	3.0
6E-05	4.0	1234	13.2	10.8	8.7	6.0	5.2	3.4	13.2	10.8	8.7	6.0	5.2	3.4
3E-05	4.0	1038	15.6	12.7	10.2	6.9	5.9	4.0	15.6	12.7	10.2	6.9	5.9	4.0
1E-05	4.0	789	20.4	16.4	13.2	9.1	7.7	5.0	20.4	16.4	13.2	9.1	7.7	5.0
6E-06	4.0	694	22.4	18.0	14.4	9.8	8.5	5.5	22.4	18.0	14.4	9.8	8.5	5.5
3E-06	4.0	584	26.2	20.8	16.5	11.1	9.5	6.2	26.2	20.8	16.5	11.1	9.5	6.2
1E-06	4.0	443	33.8	26.6	20.9	13.8	11.7	7.4	33.8	26.6	20.9	13.8	11.7	7.4
6E-07	4.0	390	38.1	29.9	23.4	15.3	12.9	8.1	38.1	29.9	23.4	15.3	12.9	8.1
3E-07	4.0	328	44.8	35.0	27.3	17.6	14.8	9.1	44.8	35.0	27.3	17.6	14.8	9.1
1E-07	4.0	249	58.0	45.0	35.0	22.1	18.6	10.9	58.0	45.0	35.0	22.1	18.6	10.9
