# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:55:00 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7542 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'Jupiter '           /                                                
# SPTYPE  = 'plnt    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2002 Dec 04'        / UT date of SXD observations                    
# LXDUT   = '2002 Dec 04'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.810598 / Minimum wavelength (um)                        
# MAXWAVE =              4.93968 / Maximum wavelength (um)                        
# V       =                    0 / V magnitude                                    
# VERR    =                    0 / V magnitude error                              
# (B-V)   =                    0 / B-V color                                      
# (B-V)ERR=                    0 / B-V color error                                
# J       =                    0 / 2MASS J magnitude                              
# JERR    =                    0 / 2MASS J magnitude error                        
# H       =                    0 / 2MASS H magnitude                              
# HERR    =                    0 / 2MASS H magnitude error                        
# KS      =                    0 / 2MASS Ks magnitude                             
# KSERR   =                    0 / 2MASS Ks magnitude error                       
# QFLAG   =                    0 / 2MASS quality flag                             
# FCBANDS =                    0 / 2MASS bands used for absolute flux calibration 
# ABSFERR =                    0 / Relative error in the absolute flux calibration
# RV      = 'NAN     '           / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810598                1.47517e-08         1.99859e-11
             0.810800                1.47046e-08         2.02301e-11
             0.811003                1.46781e-08         2.01213e-11
             0.811205                1.46602e-08         2.01151e-11
             0.811407                1.48271e-08         2.02849e-11
             0.811609                1.49616e-08         2.06634e-11
             0.811811                1.50066e-08         2.07046e-11
             0.812013                1.50581e-08         2.08690e-11
             0.812216                1.50139e-08         2.06442e-11
             0.812418                1.49384e-08         2.07774e-11
             0.812620                1.49597e-08         2.07934e-11
             0.812822                1.48965e-08         2.06580e-11
             0.813024                1.49781e-08         2.07830e-11
             0.813226                1.49577e-08         2.08387e-11
             0.813428                1.49944e-08         2.11256e-11
             0.813630                1.49863e-08         2.12359e-11
             0.813651                1.50331e-08         1.70781e-11
             0.813885                1.51042e-08         1.76481e-11
             0.814118                1.51400e-08         1.86019e-11
             0.814352                1.51679e-08         1.87741e-11
             0.814585                1.51349e-08         1.77556e-11
             0.814819                1.50724e-08         1.70412e-11
             0.815053                1.49149e-08         1.68761e-11
             0.815286                1.49561e-08         1.72138e-11
             0.815520                1.51293e-08         1.80919e-11
             0.815753                1.52896e-08         1.94108e-11
             0.815987                1.53321e-08         1.88759e-11
             0.816220                1.52478e-08         1.75940e-11
             0.816454                1.51648e-08         1.73201e-11
             0.816687                1.53156e-08         1.78413e-11
             0.816920                1.52677e-08         1.80045e-11
             0.817154                1.52687e-08         1.87615e-11
             0.817387                1.53396e-08         1.88472e-11
             0.817621                1.54321e-08         1.77641e-11
             0.817854                1.53350e-08         1.73008e-11
             0.818088                1.54309e-08         1.77282e-11
             0.818321                1.50991e-08         1.76289e-11
             0.818554                1.48694e-08         1.77634e-11
             0.818788                1.52465e-08         1.89165e-11
             0.819021                1.54712e-08         1.84292e-11
             0.819255                1.55554e-08         1.78918e-11
             0.819488                1.49934e-08         1.69181e-11
             0.819721                1.46203e-08         1.66927e-11
             0.819955                1.50753e-08         1.75187e-11
             0.820188                1.52993e-08         1.87863e-11
             0.820421                1.56380e-08         1.92362e-11
             0.820655                1.56795e-08         1.78967e-11
             0.820888                1.55779e-08         1.74049e-11
             0.821121                1.54629e-08         1.70348e-11
             0.821354                1.52961e-08         1.72988e-11
             0.821588                1.52417e-08         1.79299e-11
             0.821821                1.55846e-08         1.88575e-11
             0.822054                1.52627e-08         1.77610e-11
             0.822287                1.52304e-08         1.70912e-11
             0.822521                1.56867e-08         1.73228e-11
             0.822754                1.59098e-08         1.78334e-11
             0.822987                1.57289e-08         1.85798e-11
             0.823220                1.56484e-08         1.96963e-11
             0.823454                1.55780e-08         1.88869e-11
             0.823687                1.57290e-08         1.80441e-11
             0.823920                1.57244e-08         1.75223e-11
             0.824153                1.57417e-08         1.73428e-11
             0.824386                1.57370e-08         1.76346e-11
             0.824620                1.58120e-08         1.85965e-11
             0.824853                1.55942e-08         1.88190e-11
