# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:55:06 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6730 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'Neptune '           /                                                
# SPTYPE  = 'plnt    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2000 Jun 30'        / UT date of SXD observations                    
# LXDUT   = '2007 Jun 30'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '1500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806391 / Minimum wavelength (um)                        
# MAXWAVE =              4.12500 / Maximum wavelength (um)                        
# V       =                    0 / V magnitude                                    
# VERR    =                    0 / V magnitude error                              
# (B-V)   =                    0 / B-V color                                      
# (B-V)ERR=                    0 / B-V color error                                
# J       =                    0 / 2MASS J magnitude                              
# JERR    =                    0 / 2MASS J magnitude error                        
# H       =                    0 / 2MASS H magnitude                              
# HERR    =                    0 / 2MASS H magnitude error                        
# KS      =                    0 / 2MASS Ks magnitude                             
# KSERR   =                    0 / 2MASS Ks magnitude error                       
# QFLAG   =                    0 / 2MASS quality flag                             
# FCBANDS =                    0 / 2MASS bands used for absolute flux calibration 
# ABSFERR =                    0 / Relative error in the absolute flux calibration
# RV      = 'NAN     '           / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806391                9.69753e-13         4.94185e-15
             0.806594                9.72051e-13         4.94311e-15
             0.806796                9.90416e-13         5.15015e-15
             0.806999                1.01948e-12         5.01736e-15
             0.807201                1.02475e-12         5.09525e-15
             0.807403                1.02439e-12         5.07800e-15
             0.807606                1.02804e-12         5.10644e-15
             0.807808                1.03438e-12         5.59401e-15
             0.808011                1.03730e-12         5.09985e-15
             0.808213                1.05442e-12         5.14070e-15
             0.808415                1.07071e-12         5.20388e-15
             0.808618                1.08203e-12         5.18081e-15
             0.808820                1.06077e-12         5.21560e-15
             0.809023                1.01208e-12         5.12506e-15
             0.809225                9.85598e-13         5.06810e-15
             0.809427                9.68012e-13         5.02914e-15
             0.809630                9.97646e-13         5.17237e-15
             0.809767                1.03295e-12         4.75273e-15
             0.810000                1.06529e-12         4.59324e-15
             0.810234                1.05932e-12         4.43410e-15
             0.810467                1.06839e-12         4.54317e-15
             0.810700                1.08167e-12         4.72387e-15
             0.810934                1.07783e-12         4.99788e-15
             0.811167                1.07083e-12         4.88129e-15
             0.811400                1.12426e-12         4.72006e-15
             0.811633                1.18542e-12         4.66992e-15
             0.811867                1.23537e-12         4.71396e-15
             0.812100                1.25938e-12         4.82230e-15
             0.812333                1.27459e-12         5.07975e-15
             0.812566                1.29349e-12         5.38418e-15
             0.812800                1.30132e-12         5.09109e-15
             0.813033                1.29447e-12         4.81308e-15
             0.813266                1.28134e-12         4.76833e-15
             0.813499                1.31355e-12         4.80488e-15
             0.813732                1.38161e-12         5.15173e-15
             0.813966                1.43023e-12         5.42528e-15
             0.814199                1.45919e-12         5.47701e-15
             0.814432                1.47018e-12         5.21915e-15
             0.814665                1.46546e-12         5.03609e-15
             0.814898                1.42352e-12         4.94338e-15
             0.815131                1.43100e-12         5.04782e-15
             0.815365                1.49725e-12         5.35487e-15
             0.815598                1.54831e-12         5.74484e-15
             0.815831                1.59997e-12         5.57322e-15
             0.816064                1.62363e-12         5.32776e-15
             0.816297                1.61802e-12         5.22961e-15
             0.816530                1.70579e-12         5.52180e-15
             0.816763                1.75762e-12         5.68988e-15
             0.816997                1.73746e-12         5.85367e-15
             0.817230                1.76163e-12         5.98573e-15
             0.817463                1.82976e-12         5.71416e-15
             0.817696                1.85482e-12         5.51698e-15
             0.817929                1.93038e-12         5.69914e-15
             0.818162                2.01439e-12         5.98761e-15
             0.818395                2.01229e-12         6.06781e-15
             0.818628                2.09575e-12         6.42916e-15
             0.818861                2.16976e-12         6.38285e-15
             0.819094                2.20809e-12         6.20271e-15
             0.819327                2.28439e-12         6.17097e-15
             0.819560                2.23258e-12         6.07502e-15
             0.819793                2.19087e-12         6.12814e-15
             0.820026                2.24750e-12         6.45447e-15
             0.820259                2.35668e-12         6.83946e-15
             0.820492                2.43499e-12         6.65577e-15
             0.820725                2.42809e-12         6.21697e-15
             0.820958                2.44985e-12         6.14598e-15
             0.821191                2.52084e-12         6.34642e-15
             0.821424                2.54123e-12         6.62849e-15
             0.821657                2.56257e-12         6.87993e-15
             0.821890                2.62111e-12         6.92245e-15
             0.822123                2.61785e-12         6.75248e-15
             0.822356                2.65579e-12         6.53966e-15
             0.822589                2.73854e-12         6.65868e-15
             0.822822                2.73260e-12         6.87218e-15
             0.823055                2.71691e-12         7.38855e-15
             0.823288                2.66648e-12         7.51659e-15
             0.823521                2.64127e-12         6.98018e-15
             0.823754                2.60018e-12         6.52190e-15
             0.823986                2.56148e-12         6.26353e-15
             0.824219                2.58931e-12         6.34574e-15
             0.824452                2.56862e-12         6.50300e-15
             0.824685                2.56170e-12         6.81481e-15
             0.824918                2.49494e-12         6.62042e-15
             0.825151                2.49174e-12         6.32770e-15
             0.825384                2.51032e-12         6.20480e-15
             0.825617                2.45775e-12         6.10599e-15
             0.825849                2.41127e-12         6.27955e-15
             0.826082                2.43424e-12         6.39478e-15
             0.826315                2.41392e-12         6.52785e-15
             0.826548                2.43450e-12         6.38265e-15
             0.826781                2.47702e-12         6.26305e-15
             0.827013                2.47994e-12         6.05927e-15
             0.827246                2.43767e-12         6.09126e-15
             0.827479                2.44487e-12         6.34058e-15
             0.827712                2.54149e-12         6.58640e-15
             0.827945                2.62443e-12         6.78302e-15
             0.828177                2.70531e-12         6.67186e-15
             0.828410                2.81549e-12         6.67632e-15
             0.828643                2.89798e-12         6.66664e-15
             0.828876                2.93494e-12         6.76841e-15
             0.829108                2.98565e-12         7.09991e-15
             0.829341                3.03819e-12         7.38714e-15
             0.829574                3.13081e-12         7.36570e-15
             0.829807                3.26130e-12         7.37409e-15
             0.830039                3.30566e-12         7.21809e-15
             0.830272                3.39412e-12         7.57156e-15
             0.830505                3.40155e-12         7.54875e-15
             0.830738                3.37942e-12         7.70301e-15
             0.830970                3.42757e-12         7.92597e-15
             0.831203                3.43943e-12         7.62415e-15
             0.831436                3.51306e-12         7.68176e-15
             0.831668                3.57083e-12         7.55829e-15
             0.831901                3.49187e-12         7.47975e-15
             0.832134                3.42907e-12         7.58789e-15
             0.832366                3.35843e-12         7.76289e-15
             0.832599                3.17026e-12         7.36964e-15
             0.832832                2.94482e-12         6.77354e-15
             0.833064                2.87591e-12         6.54725e-15
             0.833297                2.71270e-12         6.31009e-15
             0.833530                2.39365e-12         5.94219e-15
             0.833762                2.21660e-12         5.82465e-15
             0.833995                2.15269e-12         5.86666e-15
             0.834227                2.00990e-12         5.50609e-15
             0.834460                1.82841e-12         5.07057e-15
             0.834693                1.65820e-12         4.81670e-15
             0.834925                1.47215e-12         4.53837e-15
             0.835158                1.34014e-12         4.41652e-15
             0.835390                1.34726e-12         4.50879e-15
             0.835623                1.23628e-12         4.36259e-15
             0.835855                1.05000e-12         4.02586e-15
             0.836088                1.06489e-12         3.99565e-15
             0.836321                1.08939e-12         3.96637e-15
             0.836553                9.60609e-13         3.83684e-15
             0.836786                8.77757e-13         3.75865e-15
             0.837018                9.47763e-13         3.92020e-15
             0.837251                9.07498e-13         3.81724e-15
             0.837483                7.96372e-13         3.61856e-15
             0.837716                8.31618e-13         3.59584e-15
             0.837948                8.50225e-13         3.63312e-15
             0.838181                7.26733e-13         3.47331e-15
