# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:55:02 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7659 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'Saturn  '           /                                                
# SPTYPE  = 'plnt    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2007 May 01'        / UT date of SXD observations                    
# LXDUT   = '2007 May 03'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.800000 / Minimum wavelength (um)                        
# MAXWAVE =              5.02130 / Maximum wavelength (um)                        
# V       =                    0 / V magnitude                                    
# VERR    =                    0 / V magnitude error                              
# (B-V)   =                    0 / B-V color                                      
# (B-V)ERR=                    0 / B-V color error                                
# J       =                    0 / 2MASS J magnitude                              
# JERR    =                    0 / 2MASS J magnitude error                        
# H       =                    0 / 2MASS H magnitude                              
# HERR    =                    0 / 2MASS H magnitude error                        
# KS      =                    0 / 2MASS Ks magnitude                             
# KSERR   =                    0 / 2MASS Ks magnitude error                       
# QFLAG   =                    0 / 2MASS quality flag                             
# FCBANDS =                    0 / 2MASS bands used for absolute flux calibration 
# ABSFERR =                    0 / Relative error in the absolute flux calibration
# RV      = 'NAN     '           / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.800000                4.91170e-10         3.73356e-13
             0.800202                4.90946e-10         3.74495e-13
             0.800405                4.84887e-10         3.69617e-13
             0.800608                4.83851e-10         3.71007e-13
             0.800810                5.04271e-10         3.83975e-13
             0.801013                5.25956e-10         4.00238e-13
             0.801215                5.38125e-10         4.06872e-13
             0.801418                5.36863e-10         4.14152e-13
             0.801620                5.22013e-10         3.94441e-13
             0.801823                5.08180e-10         3.88194e-13
             0.802025                5.09436e-10         3.92842e-13
             0.802227                5.23954e-10         4.00769e-13
             0.802430                5.39032e-10         4.10045e-13
             0.802633                5.41840e-10         4.14616e-13
             0.802835                5.29492e-10         4.00665e-13
             0.803037                5.26512e-10         3.99755e-13
             0.803240                5.39033e-10         4.09409e-13
             0.803442                5.48166e-10         4.16950e-13
             0.803645                5.57899e-10         4.25849e-13
             0.803847                5.65593e-10         4.30423e-13
             0.804044                5.60271e-10         3.74930e-13
             0.804277                5.50701e-10         3.74823e-13
             0.804511                5.52976e-10         3.90563e-13
             0.804744                5.50061e-10         4.14099e-13
             0.804978                5.54547e-10         4.15504e-13
             0.805211                5.68652e-10         4.00415e-13
             0.805445                5.77153e-10         3.89221e-13
             0.805678                5.75616e-10         3.84306e-13
             0.805911                5.86518e-10         4.02359e-13
             0.806145                5.91514e-10         4.26472e-13
             0.806378                5.96098e-10         4.57637e-13
             0.806612                6.02995e-10         4.33968e-13
             0.806845                6.07276e-10         4.14881e-13
             0.807079                6.18808e-10         4.13272e-13
             0.807312                6.15168e-10         4.12382e-13
             0.807545                6.11528e-10         4.26646e-13
             0.807779                6.16970e-10         4.53935e-13
             0.808012                6.19958e-10         4.57280e-13
             0.808246                6.22734e-10         4.32898e-13
             0.808479                6.26439e-10         4.20381e-13
             0.808712                6.25178e-10         4.15431e-13
             0.808946                6.18971e-10         4.19386e-13
             0.809179                6.13660e-10         4.36377e-13
             0.809412                6.04986e-10         4.56077e-13
             0.809646                6.06024e-10         4.36268e-13
             0.809879                6.16987e-10         4.18849e-13
             0.810112                6.19933e-10         4.10881e-13
             0.810346                6.23977e-10         4.17289e-13
             0.810579                6.30939e-10         4.31582e-13
             0.810812                6.35528e-10         4.60687e-13
             0.811045                6.34747e-10         4.63549e-13
             0.811279                6.33366e-10         4.37862e-13
             0.811512                6.43552e-10         4.28849e-13
             0.811745                6.51799e-10         4.28368e-13
             0.811979                6.59067e-10         4.41243e-13
             0.812212                6.62092e-10         4.62159e-13
