   Wave [mic]    t_ote(norm)    nc_abs    sys_t(norm)
      2.50000     0.998312      0.99860096      0.99691532
      2.50050     0.998313      0.99860096      0.99691669
      2.50100     0.998314      0.99860096      0.99691752
      2.50150     0.998316      0.99860096      0.99691895
      2.50200     0.998317      0.99860096      0.99691990
      2.50250     0.998319      0.99860096      0.99692222
      2.50300     0.998318      0.99860096      0.99692139
      2.50350     0.998320      0.99860096      0.99692294
      2.50400     0.998321      0.99860096      0.99692425
      2.50450     0.998321      0.99860096      0.99692437
      2.50500     0.998322      0.99860096      0.99692561
      2.50550     0.998325      0.99860096      0.99692811
      2.50600     0.998324      0.99860096      0.99692776
      2.50650     0.998327      0.99860096      0.99693056
      2.50700     0.998327      0.99860096      0.99692990
      2.50750     0.998328      0.99860096      0.99693175
      2.50800     0.998329      0.99860096      0.99693258
      2.50850     0.998331      0.99860096      0.99693425
      2.50900     0.998331      0.99860096      0.99693383
      2.50950     0.998333      0.99860096      0.99693585
      2.51000     0.998333      0.99860096      0.99693663
      2.51050     0.998334      0.99860799      0.99694478
      2.51100     0.998335      0.99861497      0.99695246
      2.51150     0.998337      0.99862194      0.99696091
      2.51200     0.998339      0.99862891      0.99696989
      2.51250     0.998339      0.99863595      0.99697721
      2.51300     0.998339      0.99864292      0.99698441
      2.51350     0.998341      0.99864990      0.99699304
      2.51400     0.998342      0.99865693      0.99700078
      2.51450     0.998342      0.99866390      0.99700839
      2.51500     0.998344      0.99867088      0.99701696
      2.51550     0.998344      0.99867785      0.99702369
      2.51600     0.998346      0.99868488      0.99703279
      2.51650     0.998345      0.99869186      0.99703910
      2.51700     0.998348      0.99869883      0.99704856
      2.51750     0.998349      0.99870586      0.99705665
      2.51800     0.998350      0.99871284      0.99706534
      2.51850     0.998350      0.99871981      0.99707165
      2.51900     0.998351      0.99872679      0.99707986
      2.51950     0.998352      0.99873382      0.99708825
      2.52000     0.998353      0.99874079      0.99709557
      2.52050     0.998354      0.99874079      0.99709700
      2.52100     0.998354      0.99874079      0.99709688
      2.52150     0.998356      0.99874079      0.99709885
      2.52200     0.998355      0.99874079      0.99709825
      2.52250     0.998358      0.99874079      0.99710057
      2.52300     0.998359      0.99874079      0.99710165
      2.52350     0.998358      0.99874079      0.99710093
      2.52400     0.998359      0.99874079      0.99710230
      2.52450     0.998360      0.99874079      0.99710319
      2.52500     0.998362      0.99874079      0.99710456
      2.52550     0.998362      0.99874079      0.99710474
      2.52600     0.998361      0.99874079      0.99710432
      2.52650     0.998363      0.99874079      0.99710545
